FID,OBJECTID,STATEFP,UNSDLEA,GEOID,NAME,LSAD,LOGRADE,HIGRADE,MTFCC,SDTYP,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,Shape_Leng,Shape_Area,GEOID_Data,GEOID_NUM,FIN_NAME,DIST_NAME,DIST_PLAN,DIST_CODE,DIST_DPFSC,EN_07,EN_08,EN_09,EN_10,EN_11,EN_12,EN_13,EN_14,EN_15,EN_16,F5_NUM_CHG,PPR,PPR MLO,PPR (Includes MLO),MLO Sharing (%),F5_YEAR_GR,POP_TOT,POP_POV,K12_POV,HH_INCOME,ELEM_POP,MIDDLE_POP,HIGH_POP,K12_POP,PERCENT_MINORITY,FRL_PERCENT,ELL_PERCENT,IEP_PERCENT,POV_P,ELEM_QUAL,MIDDLE_QUA,HIGH_QUAL,ELEM_NEED,MI_NEED,HIGH_NEED,Shape__Area,Shape__Length
130,979,8,5280,805280,Limon School District RE-4J,0,PK,12,G5420, ,E,1050789052,2237400,39.3077142,-103.6952985,1.769763909,0.109958736,97000US0805280,805280,LIMON,LIMON RE-4J,Distinction,1790,76,507,494,448,435,451,447,473,476,491,479,32,8417,0,8417,N/A,7.2,1915,301,100,38393,221,74,153,447,0.2129,0.444676409,0.052192067,0.160751566,0.2237,231,117,131,-10,-43,22,1760883597,233241.8852
131,980,8,5310,805310,Littleton School District 6,0,PK,12,G5420, ,E,70212246,3112552,39.5955539,-104.9895201,0.445105566,0.007688592,97000US0805310,805310,LITTLETON,LITTLETON 6,Distinction,140,74,15937,15869,15753,15733,15571,15754,15830,15691,15780,15517,-237,7366,1960,9326,0.43,-1.5,96310,7067,1333,72226,6406,3686,5011,15103,0.2661,0.186620903,0.043242895,0.095250371,0.0883,6599,3375,5134,-193,311,-123,123644796.3,54978.89689
132,981,8,5340,805340,Lone Star School District 101,0,KG,12,G5420, ,E,495732035,0,40.3501534,-102.9281146,1.376786289,0.052549434,97000US0805340,805340,LONE STAR,LONE STAR 101,Insufficient State Data: Low Participation,3060,0,93,100,118,104,112,116,121,106,103,115,-1,14317,0,14317,N/A,-0.9,200,5,0,48438,12,9,10,31,0.1739,0.486956522,0.069565217,0.147826087,0,0,0,0,12,9,10,854472564.9,172809.6721
133,982,8,5370,805370,St. Vrain Valley School District RE 1J,0,PK,12,G5420, ,E,1017961067,21707441,40.1711571,-105.1758811,2.62859994,0.109921019,97000US0805370,805370,ST VRAIN,ST VRAIN VALLEY RE 1J,Accredited,470,65,24582,25751,26724,27379,28109,29382,30195,31076,31776,32171,2789,7485,1042,8527,0.89,9.5,161265,16614,4149,73823,15105,6877,9000,30983,0.3643,0.313741426,0.142706164,0.110130242,0.1339,13342,5165,7366,1763,1712,1634,1782632266,322701.2889
134,983,8,5400,805400,Thompson School District R-2J,0,PK,12,G5420, ,E,896568719,33600380,40.4028118,-105.1823528,1.753955233,0.098691197,97000US0805400,805400,THOMPSON,THOMPSON R2-J,Accredited,1560,58,15305,15332,15225,15310,15655,16042,16210,16133,16043,16280,238,7271,922,8193,0.43,1.5,111390,9155,2012,61785,8734,4799,5835,19367,0.2623,0.392284186,0.036916462,0.122297297,0.1039,5945,1371,4833,2789,3428,1002,1606227598,221972.3778
135,984,8,5460,805460,Mancos School District RE-6,0,PK,12,G5420, ,E,919847910,1970733,37.3574741,-108.2925447,1.84357585,0.093756594,97000US0805460,805460,MANCOS,MANCOS RE-6,Improvement,2070,61,404,368,373,369,374,396,416,455,496,501,105,8520,722,9242,N/A,26.5,3574,531,143,47813,273,152,124,548,0.2814,0.558951965,0.079840319,0.133732535,0.2609,0,0,121,273,152,3,1461751728,226887.6386
136,985,8,5490,805490,Manitou Springs School District 14,0,PK,12,G5420, ,E,234029504,2240646,38.9008026,-104.9787095,0.776644415,0.024533589,97000US0805490,805490,MANITOU SPRINGS,MANITOU SPRINGS 14,Accredited,1030,63,1378,1376,1405,1418,1510,1500,1480,1458,1492,1488,-12,7754,1351,9106,N/A,-0.8,8265,1089,235,59638,410,214,309,933,0.1599,0.24757953,0.008736559,0.065188172,0.2519,0,351,507,410,-137,-198,390660931,99528.29434
137,986,8,5520,805520,Manzanola School District 3J,0,KG,12,G5420, ,E,243940419,2160981,38.0398888,-103.8874534,0.843831039,0.025258477,97000US0805520,805520,MANZANOLA,MANZANOLA 3J,Accredited,2535,71,219,169,177,173,163,131,137,147,133,129,-2,14371,0,14371,N/A,-1.5,869,247,60,33750,52,32,68,152,0.6202,0.700787402,0.19379845,0.062015504,0.3947,56,26,47,-4,6,21,397447492.1,110122.4076
138,987,8,5550,805550,Mapleton School District 1,0,PK,12,G5420, ,E,31393976,930453,39.8331301,-104.9669841,0.396204829,0.003401005,97000US0805550,805550,MAPLETON,MAPLETON 1,Improvement,10,49,5493,5794,5775,7634,7760,8051,8408,8670,8738,8822,771,7612,577,8189,N/A,9.6,31727,3467,854,53110,2561,1468,1973,6002,0.7028,0.585918854,0.298458399,0.125821809,0.1423,1943,415,907,618,1053,1066,54883356.57,51358.68336
139,988,8,5580,805580,McClave School District RE-2,0,PK,12,G5420, ,E,1648739428,21344858,37.9833553,-102.9035942,2.275068827,0.171209388,97000US0805580,805580,MCCLAVE,MC CLAVE RE-2,Distinction,310,78,266,280,259,305,293,272,266,279,262,272,0,10616,514,11130,N/A,0,794,245,70,44896,79,67,93,240,0.0221,0.41322314,0.106617647,0.058823529,0.2917,140,49,83,-61,18,10,2690844167,291652.4209
