LATITUDE,LONGITUDE,DISTRICT_CODE,ADDRESS,CITY,DISTRICT_NAME,SCHOOL_CODE,SCHOOL_NAME,SCHOOL_LEVEL,ENROLL_16_17,AEC,CHARTER,MINORITY_PERCENT,FRL_PERCENT,SPED_PERCENT,ELL_PERCENT,17_SPF_FINAL,17_SPF_SCORE
39.753358,-104.8664183,180,10455 EAST 25TH AVENUE,AURORA,ADAMS-ARAPAHOE 28J,7233,ROCKY MOUNTAIN PREP - FLETCHER CAMPUS,E,45,N,Y,0.84,N/A,N/A,N/A,Insufficient State Data,N/A
38.3045703,-104.780396,2700,1047 CAMINO DE BRAVO,PUEBLO WEST,PUEBLO COUNTY 70,25,SKY VIEW MIDDLE SCHOOL,M,628,N,N,0.37,0.28,0.13,0.02,Improvement,0.52
38.9820371,-104.5894787,1110,10480 RAINBOW BRIDGE DRIVE,FALCON,FALCON 49,5779,MERIDIAN RANCH ELEMENTARY SCHOOL,E,740,N,N,0.28,0.14,0.11,0.02,Performance,0.56
38.2464782,-104.4662987,2700,1050  35TH LANE,PUEBLO,PUEBLO COUNTY 70,7208,PUEBLO COUNTY HIGH SCHOOL,H,940,N,N,0.48,0.52,0.12,0.06,Improvement,0.48
38.7321361,-108.0600077,870,1050 HASTINGS,DELTA,DELTA COUNTY 50(J),5154,LINCOLN ELEMENTARY SCHOOL,E,540,N,N,0.34,0.69,0.16,0.12,Performance,0.57
39.6970261,-105.0153784,880,1050 SOUTH ZUNI STREET,DENVER,DENVER COUNTY 1,3512,GOLDRICK ELEMENTARY SCHOOL,E,511,N,N,0.96,0.97,0.09,0.60,Performance,0.55
39.752167,-105.116212,1420,10500 WEST 25TH AVENUE,LAKEWOOD,JEFFERSON COUNTY R-1,9154,VIVIAN ELEMENTARY SCHOOL,E,177,N,N,0.54,0.72,0.24,0.12,Performance,0.66
39.752167,-105.116212,1420,10500 WEST 25TH AVENUE,LAKEWOOD,JEFFERSON COUNTY R-1,9154,VIVIAN ELEMENTARY SCHOOL,M,25,N,N,0.54,0.72,0.24,0.12,Performance,0.66
40.3891625,-104.6938936,3120,1051 29TH STREET RD,EVANS,GREELEY 6,8975,UNION COLONY ELEMENTARY SCHOOL,E,445,N,Y,0.59,0.65,0.06,0.22,Performance,0.57
40.1463751,-105.108129,470,1051 S. PRATT PARKWAY,LONGMONT,ST VRAIN VALLEY RE 1J,1148,BURLINGTON ELEMENTARY SCHOOL,E,451,N,N,0.46,0.52,0.17,0.16,Improvement,0.51
40.154874,-105.110016,470,1055 Delaware Avenue,Longmont,ST VRAIN VALLEY RE 1J,7565,ST. VRAIN COMMUNITY MONTESSORI SCHOOL,E,203,N,Y,0.14,N/A,0.07,0.05,Performance,0.63
40.154874,-105.110016,470,1055 Delaware Avenue,Longmont,ST VRAIN VALLEY RE 1J,7565,ST. VRAIN COMMUNITY MONTESSORI SCHOOL,M,34,N,Y,0.14,N/A,0.07,0.05,N/A,N/A
39.69763,-105.0279492,880,1055 SOUTH HAZEL COURT,DENVER,DENVER COUNTY 1,7192,PASCUAL LEDOUX ACADEMY,E,249,N,N,0.96,N/A,0.18,N/A,N/A,N/A
39.888871,-104.795186,40,10566 MEMPHIS STREET,COMMERCE CITY,SCHOOL DISTRICT 27J,4950,LANDMARK ACADEMY AT REUNION,E,523,N,Y,0.32,0.13,0.09,0.05,Performance,0.54
